Age,MRS,MRS/Wage,Age,MRS,MRS/Wage
20,11.22,2.032,43,13.01,1.164
21,11.22,1.948,44,13.03,1.162
22,11.39,1.871,45,13.02,1.159
23,11.63,1.799,46,13.01,1.158
24,11.76,1.73,47,12.97,1.159
25,11.86,1.668,48,12.92,1.161
26,11.95,1.608,49,12.84,1.162
27,12.03,1.554,50,12.71,1.164
28,12.12,1.506,51,12.54,1.163
29,12.21,1.461,52,12.32,1.164
30,12.28,1.419,53,12.06,1.163
31,12.36,1.382,54,11.75,1.16
32,12.43,1.348,55,11.39,1.157
33,12.51,1.318,56,10.97,1.151
34,12.58,1.291,57,10.49,1.146
35,12.65,1.266,58,9.968,1.139
36,12.71,1.245,59,9.371,1.128
37,12.76,1.226,60,8.732,1.12
38,12.82,1.211,61,8.078,1.115
39,12.86,1.196,62,7.373,1.107
40,12.9,1.186,63,6.583,1.086
41,12.95,1.178,64,6.044,1.11
42,12.98,1.169,65,4.943,1.015
