Age,twentyfivepercenta,fiftypercenta,seventyfivepercenta,twentyfivepercentb,fiftypercentb,seventyfivepercentb
20,3.26,4.752,6.641,800,1640,2080
21,3.509,5.138,7.188,892,1694,2095
22,3.912,5.645,7.98,1127,1948,2185
23,4.14,6.096,8.623,1402,2080,2294
24,4.527,6.533,9.203,1640,2080,2357
25,4.739,7,9.833,1760,2080,2395
26,5.079,7.404,10.38,1880,2080,2438
27,5.389,7.754,10.84,1925,2080,2486
28,5.633,8.142,11.35,2000,2120,2531
29,5.673,8.318,11.65,2016,2145,2560
30,5.851,8.611,12.02,2060,2162,2580
31,5.989,8.76,12.43,2051,2170,2600
32,6.077,8.983,12.98,2068,2134,2600
33,6.166,8.917,12.66,2080,2165,2600
34,6.737,9.378,13.24,2080,2161,2600
35,6.581,9.316,13.72,2080,2200,2619
36,6.388,10.18,12.37,2080,2151,2667
