Age,MeanWage,SampleSizeWage,MeanHours,SampleSizeHours,ZeroHours,MeanAssets,SampleSizeAssets
20,5.147,2624,1567.5,2769,17.14,3478.9,202
21,5.582,3059,1616.3,3266,14.94,4633.2,561
22,6.09,3227,1766.5,3451,13.63,5404.6,931
23,6.603,3249,1910.9,3470,11.74,6676.6,1337
24,7.07,3143,2034.3,3398,10.24,8501.6,1706
25,7.5,3028,2089.9,3277,8.37,10333,1831
26,7.965,2837,2146.1,3088,6.81,11195,2128
27,8.34,2728,2183,2973,5.95,12312,2434
28,8.748,2646,2231.2,2903,5.97,13818,2439
29,8.943,2374,2250.5,2605,5.42,15733,2143
30,9.349,1927,2272.1,2135,6.09,14695,1818
31,9.656,1566,2289.9,1744,5.1,14431,1530
32,10.04,1145,2284.6,1276,6.24,13029,1265
33,9.866,808,2300.3,900,6.49,14730,1060
34,10.51,527,2292.1,594,7.03,24411,604
35,10.81,276,2337,318,8.19,32658,252
36,9.768,62,2283.5,71,7.79,22175,59
